code_insee,nom_commune,code_departement,nom_departement,region,population,latitude,longitude,prix_m2_median,prix_m2_median_maison,prix_m2_median_appartement,prix_m2_q1,prix_m2_q3,prix_median_maison,prix_median_appartement,surface_mediane_m2,nb_ventes,nb_maisons,nb_appartements,periode_debut,periode_fin,evolution_prix_pct,part_passoires_dpe_pct,prix_m2_median_departement,fiabilite,url
33165,Fargues-Saint-Hilaire,33,Gironde,Nouvelle-Aquitaine,3543,44.8202,-0.4399,3240,3060,3380,2750,3620,295500,145000,66,110,60,50,2023-01-06,2025-12-23,-5.4,2.5,3570,élevée,https://vendsmonbien.com/prix-immobilier/33-gironde/fargues-saint-hilaire/
33167,Floirac,33,Gironde,Nouvelle-Aquitaine,18300,44.8322,-0.5215,3300,3410,3250,2900,3760,289000,181500,74,492,246,246,2023-01-03,2025-12-30,-8.1,1.3,3570,élevée,https://vendsmonbien.com/prix-immobilier/33-gironde/floirac/
33170,Fontet,33,Gironde,Nouvelle-Aquitaine,746,44.5531,-0.027,1540,1540,,1360,1850,152500,,108,16,16,0,2023-02-21,2025-12-05,,,3570,indicative,
33174,Fronsac,33,Gironde,Nouvelle-Aquitaine,1130,44.9213,-0.2765,2170,2150,,1510,2720,277000,,111,24,23,1,2023-02-06,2025-12-31,,,3570,indicative,
33177,Gaillan-en-Médoc,33,Gironde,Nouvelle-Aquitaine,2385,45.3135,-0.9946,2600,2020,3980,1830,3920,170000,64000,75,55,38,17,2023-03-07,2025-12-17,-3.6,6.3,3570,bonne,https://vendsmonbien.com/prix-immobilier/33-gironde/gaillan-en-medoc/
33179,Galgon,33,Gironde,Nouvelle-Aquitaine,3144,44.991,-0.278,2050,2100,1930,1700,2410,198000,83000,82,92,72,20,2023-01-16,2025-12-30,-11.2,4.3,3570,bonne,https://vendsmonbien.com/prix-immobilier/33-gironde/galgon/
33182,Gauriac,33,Gironde,Nouvelle-Aquitaine,759,45.0614,-0.6278,1950,1950,,1430,2570,197000,,100,30,30,0,2023-01-16,2025-12-30,,13.6,3570,bonne,https://vendsmonbien.com/prix-immobilier/33-gironde/gauriac/
33183,Gauriaguet,33,Gironde,Nouvelle-Aquitaine,1599,45.0446,-0.3947,2670,2670,,2120,3070,241500,,89,20,20,0,2023-02-08,2025-08-16,,,3570,indicative,
33185,Génissac,33,Gironde,Nouvelle-Aquitaine,2041,44.8614,-0.2496,2580,2550,2620,2180,2760,249500,106000,92,42,32,10,2023-01-05,2025-12-29,,4.1,3570,bonne,https://vendsmonbien.com/prix-immobilier/33-gironde/genissac/
33186,Gensac,33,Gironde,Nouvelle-Aquitaine,687,44.7948,0.0874,1280,1280,,1030,1630,139500,,103,30,30,0,2023-03-23,2025-11-25,,18.7,3570,bonne,https://vendsmonbien.com/prix-immobilier/33-gironde/gensac/
33187,Gironde-sur-Dropt,33,Gironde,Nouvelle-Aquitaine,1333,44.59,-0.0909,1660,1600,1730,1480,1850,145500,97500,72,36,22,14,2023-01-25,2025-11-24,,2.6,3570,bonne,https://vendsmonbien.com/prix-immobilier/33-gironde/gironde-sur-dropt/
33192,Gradignan,33,Gironde,Nouvelle-Aquitaine,26952,44.7681,-0.6163,3600,3800,3490,3000,4250,360000,158000,70,865,339,526,2023-01-05,2025-12-31,-5.4,4.5,3570,élevée,https://vendsmonbien.com/prix-immobilier/33-gironde/gradignan/
33193,Grayan-et-l'Hôpital,33,Gironde,Nouvelle-Aquitaine,1542,45.4324,-1.1057,2380,2380,,2080,3140,200000,,89,27,27,0,2023-01-26,2025-10-16,,,3570,indicative,
